#
# clustering coefficient. G(150568, 12246069). Average clustering: 0.9315  OpenTriads: -836026651 (0.6033)  ClosedTriads: -2020504368 (0.3967) (Sun Nov  4 01:03:47 2018)
#
# Node degree	Average clustering coefficient
1	0
2	1
3	1
4	0.999384
5	0.997598
6	0.993303
7	0.987343
8	0.979707
9	0.981157
10	0.975138
11	0.969834
12	0.964673
13	0.960841
14	0.960775
15	0.958316
16	0.955046
17	0.955875
18	0.949984
19	0.954842
20	0.945441
21	0.946895
22	0.943246
23	0.945657
24	0.940634
25	0.936099
26	0.942656
27	0.938437
28	0.94987
29	0.941068
30	0.929193
31	0.93931
32	0.943976
33	0.939073
34	0.925365
35	0.920678
36	0.935646
37	0.924074
38	0.943735
39	0.946106
40	0.901808
41	0.910873
42	0.936219
43	0.899771
44	0.923119
45	0.941805
46	0.933981
47	0.937805
48	0.946046
49	0.940182
50	0.923448
51	0.888041
52	0.894373
53	0.936215
54	0.959489
55	0.918016
56	0.923207
57	0.923845
58	0.884106
59	0.92553
60	0.948529
61	0.915901
62	0.923259
63	0.916358
64	0.949609
65	0.914614
66	0.948384
67	0.931924
68	0.919665
69	0.9461
70	0.9476
71	0.895839
72	0.903306
73	0.937054
74	0.924141
75	0.912217
76	0.85509
77	0.95468
78	0.947343
79	0.877154
80	0.893565
81	0.748551
82	0.881989
83	0.901206
84	0.883096
85	0.916249
86	0.95918
87	0.923983
88	0.942915
89	0.951687
90	0.845826
91	0.929494
92	0.939223
93	0.932155
94	0.891575
95	0.854325
96	0.915049
97	0.9622
98	0.922791
99	0.86634
100	0.932388
101	0.954389
102	0.927373
103	0.957307
104	0.958081
105	0.894785
106	0.96996
107	0.947165
108	0.915542
109	0.917186
110	0.963771
111	0.951858
112	0.935881
113	0.955368
114	0.891982
115	0.922558
116	0.972696
117	0.928542
118	0.939978
119	0.933232
120	0.902382
121	0.794331
122	0.939304
123	0.892031
124	0.940648
125	0.90284
126	0.933335
127	0.779918
128	0.929155
129	0.942118
130	0.800554
131	0.945955
132	0.930665
133	0.914557
134	0.923324
135	0.719974
136	0.912168
137	0.895664
138	0.925286
139	0.952274
140	0.799473
141	0.921868
142	0.877865
143	0.908562
144	0.74512
145	0.770233
146	0.95721
147	0.91692
148	0.93579
149	0.910175
150	0.950582
151	0.862217
152	0.800316
153	0.93711
154	0.751843
155	0.957164
156	0.890551
157	0.930459
158	0.698333
159	0.709394
160	0.695039
161	0.92053
162	0.630028
163	0.965424
164	0.968299
165	0.93306
166	0.824582
167	0.906435
168	0.883333
169	0.677999
170	0.939415
171	0.970234
172	0.952316
173	0.879267
174	0.796631
175	0.918268
176	0.766497
177	0.962006
178	0.66138
179	0.70487
180	0.725916
181	0.812318
182	0.702055
183	0.74843
184	0.820276
185	0.934334
186	0.743386
187	0.776646
188	0.793635
189	0.8788
190	0.827168
191	0.740287
192	0.828573
193	0.9642
194	0.763296
195	0.934512
196	0.796942
197	0.913634
198	0.928192
199	0.854805
200	0.86155
201	0.926865
202	0.844603
203	0.90147
204	0.758114
205	0.751654
206	0.729179
207	0.887545
208	0.927056
209	0.764579
210	0.729749
211	0.912659
212	0.935971
213	0.854631
214	0.831879
215	0.695199
216	0.878641
217	0.792321
218	0.923604
219	0.886697
220	0.800404
221	0.786564
222	0.940892
223	0.745225
224	0.827707
225	0.901383
226	0.692196
