#
# Author-Author In Degree. G(150568, 12246069). 36698 (0.2437) nodes with in-deg > avg deg (162.7), 22031 (0.1463) with >2*avg.deg (Sun Nov  4 01:46:19 2018)
#
# In-degree	Count
1	2
2	160
3	3302
4	6762
5	6245
6	5276
7	4808
8	4164
9	3855
10	3443
11	3183
12	2654
13	2370
14	2339
15	2245
16	2013
17	1956
18	1749
19	1741
20	1502
21	1512
22	1379
23	1445
24	1260
25	1128
26	1170
27	1088
28	1255
29	1126
30	934
31	1050
32	944
33	845
34	808
35	717
36	790
37	722
38	713
39	716
40	524
41	536
42	625
43	470
44	451
45	628
46	615
47	455
48	538
49	635
50	509
51	413
52	371
53	488
54	677
55	417
56	409
57	422
58	262
59	488
60	493
61	352
62	308
63	358
64	668
65	335
66	484
67	292
68	288
69	411
70	418
71	199
72	269
73	400
74	308
75	261
76	164
77	446
78	345
79	195
80	173
81	59
82	164
83	287
84	173
85	233
86	481
87	202
88	436
89	355
90	109
91	259
92	387
93	251
94	174
95	143
96	172
97	512
98	237
99	143
100	314
101	324
102	214
103	350
104	489
105	158
106	351
107	248
108	208
109	213
110	471
111	294
112	239
113	371
114	110
115	207
116	441
117	335
118	239
119	282
120	134
121	81
122	208
123	121
124	399
125	147
126	201
127	63
128	178
129	297
130	73
131	275
132	148
133	169
134	220
135	60
136	133
137	208
138	199
139	404
140	72
141	129
142	122
143	149
144	53
145	61
146	305
147	148
148	180
149	224
150	254
151	83
152	66
153	186
154	78
155	349
156	154
157	138
158	43
159	47
160	40
161	139
162	26
163	307
164	183
165	149
166	74
167	105
168	172
169	31
170	147
171	340
172	205
173	65
174	53
175	183
176	43
177	293
178	28
179	28
180	44
181	49
182	40
183	41
184	86
185	150
186	28
187	46
188	31
189	82
190	54
191	16
192	50
193	286
194	45
195	124
196	60
197	122
198	153
199	50
200	48
201	130
202	59
203	114
204	40
205	54
206	40
207	73
208	102
209	29
210	42
211	133
212	250
213	35
214	51
215	34
216	92
217	57
218	112
219	123
220	43
221	36
222	171
223	22
224	36
225	84
226	25
227	196
228	36
229	25
230	29
231	192
232	312
233	245
234	38
235	29
236	27
237	46
238	38
239	34
240	34
241	122
242	154
243	151
244	119
245	45
246	34
247	229
248	211
249	42
250	39
251	226
252	41
253	173
254	272
255	68
256	46
257	60
258	22
259	38
260	38
261	53
262	15
263	30
264	204
265	370
266	22
267	29
268	51
269	46
270	154
271	85
272	258
273	55
274	143
275	268
276	40
277	23
278	19
279	28
280	40
281	89
282	25
283	24
284	64
285	223
286	133
287	274
