#
# PrefAttach(100000, 3) in Degree. G(100000, 299994). 28626 (0.2863) nodes with in-deg > avg deg (6.0), 7655 (0.0766) with >2*avg.deg (Sat Nov  3 09:27:19 2018)
#
# In-degree	Count
3	39989
4	19989
5	11396
6	7100
7	4860
8	3418
9	2411
10	1784
11	1398
12	1096
13	870
14	733
15	546
16	496
17	388
18	363
19	278
20	265
21	231
22	198
23	178
24	151
25	122
26	128
27	97
28	98
29	107
30	94
31	78
32	70
33	56
34	60
35	46
36	39
37	49
38	43
39	41
40	27
41	28
42	32
43	27
44	29
45	30
46	21
47	32
48	13
49	21
50	24
51	19
52	12
53	18
54	14
55	13
56	18
57	13
58	10
59	11
60	10
61	12
62	14
63	10
64	15
65	1
66	6
67	6
68	4
69	9
70	9
71	5
72	4
73	8
74	3
75	4
76	5
78	5
79	2
80	5
81	5
82	4
83	1
84	4
85	5
86	3
87	7
88	3
89	5
90	4
91	3
92	4
93	6
94	2
95	3
96	5
97	2
98	2
99	4
101	1
102	2
103	2
104	2
106	3
107	2
108	1
110	3
112	2
113	1
114	2
115	1
116	1
117	1
120	3
121	3
122	3
123	4
125	1
126	1
127	1
128	1
129	2
131	3
133	2
137	1
139	1
141	1
142	2
143	3
146	1
153	1
155	2
157	2
159	1
162	1
163	1
165	2
166	1
169	2
173	2
176	1
177	1
178	1
180	1
181	2
186	1
188	1
189	1
192	1
193	1
198	1
200	1
203	1
207	1
218	1
220	1
221	1
222	1
242	1
244	1
246	1
248	1
256	1
257	1
277	1
314	1
321	1
363	1
377	1
395	1
466	1
472	1
531	1
539	1
581	1
640	1
753	1
754	1
848	1
908	1
